Sales,Growth
9084.065359477187,-10.165492884917063
9585.733058135607,-5.204380358627302
10087.400756794028,-0.2432678323375397
10589.068455452449,4.717844693952222
11090.73615411087,9.678957220241983
11592.40385276929,14.640069746531745
12094.07155142771,19.601182272821507
12595.739250086015,24.56229479911012
13097.406948744436,29.52340732539988
13599.074647402856,34.48451985168964
14100.742346061277,39.4456323779794
14602.410044719698,44.40674490426916
15104.077743378119,49.36785743055893
15605.74544203654,54.32896995684868
16107.41314069496,59.29008248313845
16609.08083935338,64.2511950094282
17110.7485380118,69.21230753571798
17612.416236670222,74.17342006200774
18114.083935328643,79.1345325882975
18615.751633986947,84.0956451145861
19117.419332645368,89.05675764087587
19619.08703130379,94.01787016716563
20120.75472996221,98.9789826934554
20622.42242862063,103.94009521974515
21124.09012727905,108.90120774603491
21625.75782593747,113.86232027232468
22127.425524595892,118.82343279861445
22629.093223254313,123.7845453249042
23130.760921912733,128.74565785119395
23632.428620571154,133.70677037748374
24134.09631922946,138.66788290377235
24635.76401788788,143.62899543006208
25137.4317165463,148.59010795635186
25639.09941520472,153.55122048264164
26140.76711386314,158.51233300893136
26642.434812521562,163.47344553522115
27144.102511179983,168.4345580615109
27645.770209838403,173.39567058780068
28147.437908496824,178.35678311409043
28649.105607155245,183.3178956403802
29150.773305813666,188.27900816666997
29652.441004472086,193.2401206929597
30154.10870313039,198.2012332192483
30655.77640178881,203.1623457455381
31157.444100447232,208.12345827182784
31659.111799105653,213.08457079811762
32160.779497764073,218.04568332440738
32662.447196422494,223.0067958506971
33164.114895080915,227.9679083769869
